	tweet
46	#GOP# still acting like the wimps they are.. What!? they haven’t yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or they’re just tilted to far left.. #Confirm Kavanaugh Now#
47	"#The Archers# I want to be brilliant at Karate so I can kick the shit out of everyone"""""
48	#Dregs Of Society# ??? #Deplorables# Liberals usually dehumanize those they want to exterminate later URL
49	#Emmy Awards 2018# - Ratings tank as expected. Who can possibly stand to watch so many liberals in one place at one time.
50	@USER #Gutierrez# has always been nothing more than a #race baiter#
51	#Elitist# #Actors# #NBC# #Liberals# of #Dems# in #Hollywood# at the #Emmy# Awards a 'toothless' #NBC# self-promotion onslaught peppered with #Me Too# cracks but it was planned, staged and okay because they are #Democrats# #Socialist# #Liberals# of the #Left# #WALKAWAY# ! URL
52	#Dr Ford# #Dear Professor Ford# Is a FRAUD Female @USER group paid for and organized by #George Soros# URL
53	#Blue Wave# #Dump Trump# …give my love <number> , or cooperate/compromise w/, conservatives/Trump supporters who constantly vilify marginalized groups, who constantly attack women’s rights <number> make choices about their own bodies,…
54	#Night Mayor# 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshi’s communist vape shop!
55	#Arun Jaitley Step Down# He is most shameless #FM# in history of India and audacity and shamelessness with which is lies in public is disgrace to post.
56	"#Conservatives# £ <number> bn Housing on-trick @USER - What a crock of sh#te#""! @USER #Housing Crisis# URL"
57	<number> weeks of resp done and I still don't know shit my ass still on vacation mode :sleepy_face:
58	#Coupdetat# of #Spain# in #Catalona#. #Spain# is a #fake democracy# @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cd dr# #shameon Spain# #Wakeup Europe# @USER @USER URL
59	#Liberalismisamentaldisorder#, but it is also a danger to our country. #Liberals# are showing themselves to be utterly hateful. They do not CARE about TRUTH, they only care about POWER.
60	@USER These are all coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their <number> along with interest rates just because he is not a polished politician? Idiots!
61	@USER @USER Awwww she is so stinking cute! How old is she now?
62	#Benghazi# #Haiti# #Uranium One# #Seth Rich# What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #Drain The Swamp# #Hillary For Prison# #Vote Red# #MAGA# URL
63	#Join The Fight# Join the fight against American Communists... Democrats and Liberals have taken this crap to the edge and there is no coming back. They are openly promoting the Destruction of AMERICA. #Join The Fight Against Communism# URL
64	@USER @USER has stated that any talk of Zionist involvement in <number> / <number> is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but he’s not because he’s #Zionel#
65	#Khaleesi# kinda watching #HIAC# ! Wtf does she think she is, a person? Pffft pathetic URL
66	And:man_shrugging_medium_skin_tone: females b on the same shit URL
67	#Declassify Documents# I love watching liberals like Maria squirm. #Outnumbered#
68	#Politics In Focus# Look Donald! You are only a duck, stop patronizing me! URL
69	#Carbon Tax# works and will put tons more money BACK INTO Canadian pockets. .@USER .@USER .@USER .@USER Part of why Trudeau won in <number> was campaigning on a national carbon tax. Conservatives died then. They want another death in <number> ...we will oblige. URL
70	Antonia Evans was either sex trafficked or cremated.
71	#The View# stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of
72	And these entertainment agencies just gonna have to be an ass about it. URL
73	#Trump# Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.
74	#Disarm Them#? This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. # 2 A# URL
75	#Christine B Ford# #Liberals Are Desperate# @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe
76	#Cincinnati Enquirer# steps into #Gun# Control FINALLY. Took a #Mass Shhoting# on their damn door step for their #editors# to wake up, but better late than never. URL
77	!!!!bitch i’m fucking coming back URL
78	#Liberals# Are Reaching Peak Desperation To Call On #Phillip Ruddock# To Talk With #Turnbull# To Convince Him To Help with #Wentworth Votes# <date> @USER #Auspol# #LNP# #NS Wpol# @USER @USER @USER #LNP Memes# URL
79	$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky
80	#Democrat# controlled city with strict gun control laws and @USER wants to blame the #GOP# Um, isn’t it you rich #Democrats# trying to keep the blacks in poverty? #Walk Away# URL
81	@USER Got to love that the people making the laws tend to know nothing about the subject they're making the law for. You should hear some of the gun control laws people try to pass here in the states.
82	@USER #Walk A Way From Catholicism# it is a corrupt to the core and become a giant autocratic pedophile ring.
83	#CALIFORNIA# PATRIOTS... especially those in #CA 21# Obama/Soros are attempting to take this House seat to get control of Congress. Say no to TJ Cox. He is a shill Candidate fronted by the dastardly duo. Please get out and vote David Valadao for House, Dist <number> ! Follow @USER URL
84	- When she takes her nigga name out her bio. URL
85	#Arrest George Soros# He Funds #Domestic Terrorists# #Antifa# URL
86	#Conservatives# Govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. #inequality# URL via @USER
87	#Crowder Confronts# continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #don t be afraid# #confront with truth# URL
88	#Bigg Boss Telugu 2# how many of you #Kaushal Army# cum @USER fans... URL
89	## <number> # son, knockin it out the fuckin park...... URL
90	@USER @USER @USER Okay and? Anybody can go to Eredivise and score <number> + goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.
91	#Kalyani# is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation #Tujhse Hai Raabta# #Zee TV Serials#
92	#Kalyani# is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation #Tujhse Hai Raabta# #Zee TV Serials#
93	#Christian# #America# – If we go by #Trump#’s example, where liberals support open borders, I guess conservatives support school shootings. Please explain how this makes America great again.
94	@USER @USER @USER She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.
95	#Democrats# #Liberals# you are being #threatened# by #Armed# #Nazis# and you talk about #disarmament# of yourselves and of #Disconnection# from the #Military# #Lifestyle# ? You should #broadcast# your #Armory# and #kill Skills# #Right Fucking NOW# URL
96	<number> . Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER
97	#AVALANCHE# I'm sorry! I see you! I love you! I was an asshole! You know how we are #maga#
98	#FF# @USER he is an alien from the future :raising_hands_light_skin_tone::alien::night_with_stars: URL
99	"#Familiar Wife# JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ URL"
100	#Things Darth Vader Would Never Say# yup , white mask privilege at it's finest. Always trying to keep a black mask down #Black Lives Matter# #Qanon# #Antifa# #Alex Jones# #Infowars# #Star Wars# #may the force be with you# #third shift zombies# #Podcast# #radio# #White Supremacy# URL
101	All I’m saying if we cool and you feel any type of way about me.. speak the fuck up.
102	#Cuckservative# Traitors Are Worse Than Fortnite Players URL #Conservatives# #Trigger Warning Radio#
103	#Barbara# Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' <number> Years Ago. PROVE ME WRONG URL
104	#Constitution Day# It's very odd for the alt right conservatives to say that we are ruining the constitution just because we want #Gun Control Now# but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not White wanting to live
105	#Liberal Logic# #Kavanaugh# looks predatory. Therefore he's guilty. #Liberals# are DANGEROUS people who should not govern anyone or anything. URL
106	#BREAKING#. #Greece#: Molotov cocktails fly after protest honouring killed antifa arti... URL via @USER URL
107	#Orrin Hatch# I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed <number> + years ago against Anita Hill. His time’s up! Good riddance Neanderthal!
108	<number> . (Part <number> ) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?
109	#Repost# theleadersmindset • • • :round_pushpin:Hola Leaders!:fire: :heavy_check_mark:Type “READY” if you are ready to follow this steps. - “ Set goals, stay quiet about them, smash the shit out of them, clap for your damn… URL
110	#Liberals# / #Democrats# THIS is what you stand for. If not, then #Walk Away# URL
111	#Beeto# Just Demonstrated How To Lose An Election In #Texas# URL #MAGA# @USER #r k b a# @USER #DVC#
112	And have a bitch thinking you niggas have money and you tf don’t.
113	*Extremely* back on my bullshit. URL
114	<number> fucking years. #My Twitter Anniversary# URL
115	#Dems# are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. URL
116	#Christine Blasey Ford# is only being harassed by members of the Antifa the radical arm of the Democratic Party funded by George Soros. #Vote Red To Save America#
117	"<number> Cent Calls Out Joe Budden's Bullshit"" On Instagram URL URL"
118	#bb20# actually question why do people want Jc to win more than Angela? He has been way meaner, says the n word repeatly, makes fun of eating disorders, and sexually harasses houseguests.She is just as much as an underdog to win so dont use that excuse. #bb20# #t angela#
119	<number> not surprised it starts from the top!!! Karma a bitch watch!!!! URL
120	Alright let me get right with God bc Mother Nature is like fuck humans URL
121	#Hillary# and @ least <number> other #Angry Democrats# #World War Q# #WWG 1 WGA# #MAGA# #Red Tsunami# #America First# #Walk Away# #Truth# URL
122	#Antifa# is recruiting for a designated #terrorist# organization URL
123	#Hypocrites# #Democrats Hate America# #Liberalism Is A Mental Disorder# EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT... URL
124	@USER @USER As I have said the media and money Soros with dip shit Waters is creating a civil war.
125	#Texas# Ted Cruz campaign is sending people solicitations disguised as official looking county summons. Elderly residents have been confused by the notice to appear. He is so skeezy. URL
126	<number> tf. He saw that shit. URL
127	Anyone who finds M*neta's behavior funny can fuck off and die
128	#Good Morning America# #Tuesday Motivation# #Thankyou# #Father God# the #Americanpeople# will begin to see the #truth# about our #government corruption# @USER @USER @USER #media Corruption# #No Redaction# #Declassify FISA# #Declassification# completely #Obama# #Hillary Clinton# #Lies# #Leakers# #liberals# URL
129	@USER The difference between you and I as I stated before, and this inane asinine comment have solidified is I bring facts and truth, while all you have is lies and bullshit. Present a single shred of credible evidence to support a single thing you've just said. Lies is all you've got.
130	@USER Damn I felt this shit. Why you so loud lol
131	#MSNBC# #Hardball# @USER Bingo you are absolutely correct he cannot bring President Obama down. He can’t get over how President Obama humiliated him at the White House correspondents dinner and I can guarantee you that is a definite driver of his hate for President Obama
132	#Cnn Is Fake News# @USER @USER you wonder why your ratings suck... #cnn is a joke# #Fake News# #MAGA# URL
133	$b album definitely worth the fucking wait
134	"#Joe Scarborough# is a vile excuse for a journalist"". Here he is criticizing #Trump# yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS#. @USER"
135	Ain’t nobody shit if you ask me... including myself.
136	"The Dregs of Society""... more LABELINGand DEHUMANIZING Conservatives.I suggest,WE, Conservatives keep OUR ammo dry and OUR guns loaded..If the Fascist Liberal Left THINK Conservatives WILL go quietly into internment camps or slaughtered in the streets they NEED a REALITY check. URL"
137	#Feinstein# you cant say anything truthful. You are a loers and liar. URL
138	#Life Is Butepu# when you have sex anytime you want but you are single
139	#Nigeria# #Naija# #9ja# 'You are the most incompetent leader in Nigeria’s history' – Atiku blasts Buhari URL By championnewsng Via URL
140	#Emmys# Well, most of those ex-crackheads are liberals and Democrats; so ...
141	@USER #Diversity# only works when those joining the new group want to be a part of the team. #Islam# hates every non-Muslim #Fail# #Unicorns#
142	// SO WANT TO KICK TWITTERFUCK ASS.
143	#Failed Dem Feinstein# should have quit decades ago. She is a disgrace. Feinstein blames GOP after Kavanaugh accuser stays mum, admits 'I can't say everything's truthful' URL
144	@USER @USER @USER Fascism was also against liberals as is Antifa according to your meme.
145	@USER fuck
146	. a grown ass woman, probably <number> years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan :red_heart:
147	#Conservatives# don’t care what you post..it’s @USER propaganda.. URL
148	#IDIOTS# Is there nothing beneath them? Lol. What fools Liberals are! #MAGA# #KAG# :United_States::United_States::United_States::United_States::United_States: URL
149	@USER The kindest explanation is that he is tone-deaf. It's hard to feel kind when he and his ilk do this repeatedly.
150	#Amazon Pets# Etta can be tricky to photograph because of her colouring, but she is BEAUTIFUL and she knows it. She is in charge, has first dibs on treats, and will shout for our attention whenever she comes in the house. She kills wild rabbits but hangs out in the hutch with ours. URL
151	#Sugar Daddy# Retweet if you are under <number> and would like share memes with each other and we can talk about dumb shit. Cuz baby I’m broke as shit but this love rich URL
152	#Geoffrey Owens# niggas don’t really understand...levels to career pursuits
153	...what about death _metal_? I want more death METAL... Tell me, you hateful Keebler Elf, WHERE CAN I HAVE MORE DEATH METAL???? URL
154	#Kavanaugh# is a disciple of Anthony Kennedy, who :wrapped_gift:ed liberals w/ <number> unconstitutional opinions! He's Trump's con to con conservatives to :thinking_face:ing #SCOTUS# is moving right! Were @USER smart, they'd do everything to get BK the :chequered_flag:. But they won't! Idiots! #Tuesday Thoughts# URL
155	#America# ... tear down that #Wall#! URL #tcot# #partisanship# #Trump# #the wall# #Borderwall# #liberty# #civil society# #think# #Conservatives# #Democrats# #Progressives# #liberals# #Independent# #libertarians# #GOP# #DNC# #Critical Thinking#
156	Am I a dickhead ???? Probably yes
157	(cr1tikal voice) smef my ass cheeks
158	@USER 'cause everyone knows a real leader falls into a van like a sack of potatoes.....
159	"#Boycott Nike# campaign must continue and grow Paying overseas staff $ <number> an hour is not okay because your staff is over there"". You are exploiting poor women/men in the world. This is more than Americans can stand. URL"
160	"#NEWS# Jeff Sessions: If you want more death, 'listen to the ACLU, Antifa, Black Lives Matter'"" URL #CNBC#"""
161	#David# #Miliband# #David Miliband# flew away in #New York# to be with the #US# #Liberals# #Democrats# - had to flee #Corbynists# hatred of Jews
162	Anyway this game sucks :)
163	#i believe blase y ford# is liar she is fat ugly libreal #snowflake# she sold her herself to get some cash !! From dems and Iran ! Why she spoke after #John Kerry Iran Meeting# ?
164	#Conservatives# do NOT represent all Canadians. They are Authoritarian scum. #cdn poli# #on poli# URL
165	"#Ford#'s attorney says she's receiving death threats and has had to move her family to safety"". Where's the proof that #Democrats# #Antifa# are not doing this to promote this circus?"""
166	#scott gimple# ruined #The Walking Dead# and now he is doing the same to #Fear TWD# . Hope the checks cash forever because he should never get another job. #AMC#
167	Another season for Tom Brady to give it to these niggas
168	"#Life Is Butepu# when you are black and can say the word nigga"". Feel me my niggas??? URL"
169	#Austerity# Low pay #Tuition Fees# Lack of housing Wages falling #Universal Credit# Unaffordable rents #NHS# crisis Crap railways Empty shops #Brexit# No deal exit from EU #Windrush# #Grenfell# In just <number> short years the @USER have completely fucked the UK
170	@USER #Those That Are The Loudest# are afraid, JUSTICE is coming #Bono# is a scam just like the #Clinton Foundation# #Pedo Wood# #Haiti# URL
171	<number> days before BBC Radio <number> ’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:
172	#tyt live# Trump needs to go because he is a danger to the country and the world. Any way we can get rid of him is good
173	@USER #David Hogg#, you're nobody.
174	<number> , <number> , <number> and <number> but like,, it’s still really miserable and unpleasant for us?? And like they even told me how they weren’t happy and would have got divorced before I was even born so I’m like cool cool I was literally born into hatred that’s awesome no wonder I’m such a fuckup
175	#De Santis#=DeRacist, as bad a choice as he is, he “distanced” himself from the Prez’s comments today questioning any deaths in Puerto Rico from Hurricane Maria @USER @USER #what a putz#
176	<number> - <number> lost my acca on the first fucking fight cba
177	@USER @USER I'll use that one the next time im in a gun control debate or in a debate about free speech or taxes. Yes you can choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive or its my right.
178	@USER @USER Who the hell does he think he is?
179	#Liberalism Is A Mental Disorder# #Hypocrites# #Democrats Hate America# #Democrats Are Dangerous# EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT. URL
180	<number> % of these niggas have podcasts and YouTube channels dedicated to this and shit ain’t getting solved so URL
181	Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said :loudly_crying_face::loudly_crying_face:
182	@USER @USER :face_with_tears_of_joy: You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck
183	5k Bitches :party_popper::blue_heart:
184	#Liberals# always up to dirty tricks to get their way. :backhand_index_pointing_down::backhand_index_pointing_down: URL
185	#Conservatives# are more upset about #bert en ernie# being #gay# than having a #sexual predator# in the @USER a hooker as @USER and a #rapist# as #supreme court justice#
186	#Antifa# protest in #Athens# for the <number> years after the murder of Pavlos Fyssas by Golden Dawn. Their voters are complicit to their crimes. #Killah P# URL
187	#Conservatives# just like old #Garbage# bags blowing in the wind, here's an old garbage bag now... URL
188	#Bakersfield# is why we need gun control! Sorry for the victims other than the gunman himself I hope he rots in hell!
189	#Honour Sacrifice Boycott Match# I hope d human rights rats r happy!hope Sidhu is happy! I hope d liberals r happy! Let’s play cricket wth thm let’s thank thm <number> wht they r doing 2our soldiers Let’s celebrate our impotence funny a piddly little nation like pak is taking us <number> a ride
190	#Confirm Kavanaugh# :white_heavy_check_mark: #Kavanaugh# #SCOTUS# #POTUS 45# #President Trump# #America First# #MAGA##KAG# :prohibited:Anti #Trump# liberal activist Accuser #Ford# makes accusation but not willing to be subject <number> B question? Suffer the consequence of filing a false charge #Lock Her Up# URL
191	#Resist# traitors caught on video breaking our laws to further their #Communist# #Socialism# ways and slow down the #Trump# agenda. They are the DC Chapter of Democrat Socialists of America. Forget anTifa, that is a distraction from the real Resistance. #MAGA# URL
192	#Christine Blasey Ford# was grinding #Kavanaugh# at a party almost 40yrs ago.....You gotta love the age, of this ridiculous #Me Too# movement Just swear #Kavanaugh# in already and get this over with, before #liberals# have an anxiety attack like <date> URL
193	#Cory Booker# is not a hero, he is an American traitor and should be treated as such. Arrest, prosecute, and carry out sentence. #Kavanaugh Confirmation# URL via @USER
194	<number> Round Goon Bitch Is You Kiddin Me:rolling_on_the_floor_laughing:
195	@USER #More BS# = MORE #BARRYSOETOROBULLSHIT#
196	#tyt live# OMG how can a Latino faith based woman think that Trump is Christian. Wow, he is the poster child for immorality and hating Latinos
197	@USER #Carrey# is a #pervert# himself!
198	@USER nigga are you stupid your trash dont play with him play with your bitch :face_with_tears_of_joy:
199	#No One Ask Me# But here's my opinion #offset# keeping this beef up between #cardi B# and @USER he know Cardi slow and believe everything he says.. She is his meal ticket. I just think #offset# need to sit his ugly ass down.
200	#ICYMI# - Liberals' Favorite Myth That Obama Was a Law Professor Is Now Destroyed?! URL
201	@USER To demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?
202	And she has a pet??? Fucking disgusting URL
203	"#Liberal Hypocrisy# #Taco Bell# When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL"
204	#Black Ink Crew CHI# lily they don’t hate you....you Hate you. You are your own worst enemy cause you let your anger get in the way I legit feel like Shes one of the kids I Work with at my job
205	#Justice For Sonias Father# Mr Usman buzdar sb! please respond to Sonia Iqbal daughter of PTI counsellor from okara whose father was killed during elections by nawaz league killers. She is saying she will commit suicide in front of media. Where is justice?
206	@USER - WORST POTUS. EVER!
207	#Conservatives# have no genetic ability to understand #hypocrisy# or #irony#. Right wing ideology gets ya all twisted in knots. #on poli# #Ontario# #Party Of Yesteryear# @USER #Fraud Nation# URL
208	#OITNB#. She is the worst public defender. Trailing her pen uner the words.
209	#The View# #Botham Jean# I don't believe #Amy Guyger# she is a lying pos! I live near a police station..I hope and pray a cop doesn't bust up in my house thinking it's his/hers and kills me..my God..we/people of color are police prey..we're always in police cross-hairs..no matter what
210	#Antifa#, <date> : Stop the fascist NVU in #Amsterdam#! URL
211	And that’s why you were at NYFW cause your such a class act.. getcho wack ass outta here URL
212	#Greatest Things About The 90 s# liberals weren’t unhinged
213	#Conservatives# We mus pray for liberals. They trooly kno knot watt they do. I was brot up socialist democrat, by my wonderful, but, ignorant parents. I served inda military. I learnd I can serve Christ, too. Eye reel -eyesed CONSERVATIVISM was more closely aligned w God.
214	#disarm them# #antifa# Please NO ONE be stupid enough to do this. Most of us DO NOT open carry, most of us carry concealed. Anyone stupid enough to do this, that is considered an act of aggression and you will be shot We also carry more than one weapon. We shoot to kill, not maim.
215	@USER * Puerto Rico is destroyed; more than <number> die * Trump visits, and throws paper rolls at people * <number> months later, Puerto Rico is still waiting for help * Trump says everything is fine, and his visit was a great success :thinking_face:
216	All these sick ass ppl from school gave me something and now I have to chug down this nasty drink so it can go away:upside-down_face:
217	#Conservatives# are #dumber than dogshit# is the central point of my tweet
218	@USER #Rosie# makes me nauseous!:face_vomiting: URL
219	#Femi Nazis# are Liberals so #Me Too# only counts when they blame a non-Liberal man. #Bizarro# #KAG 2018# :red_heart::United_States: URL
220	#BREXIT# deal HAS been reached - and will be unveiled at special summit in NOVEMBER, Has @USER sold out the #UK# to the eu??? She better have not or the @USER are finished!! @USER URL
221	#crazy redhead# in very #angry# at the #orange# #cheeto# Who claims to be our #president# . She will never accept it. Denying all the lives lost in Puerto Rico? He is a #monster# #… URL
222	#Europa League# Song the EU, cash your remaining chips in and p*ss off :thumbs_up: You've played all your cards and liberals in the U.S too. Brexiteers and Trump takes it all so be nice eh and life'll be better for everyone. URL
223	$ <number> for a phone. You all are fucking dumb.
